Table with column headers in row 3,,,,
State Postal Code,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,Alabaster City School District,"34,391","6,494",610
AL,Albertville City School District,"22,801","4,669",946
AL,Alexander City City School District,"16,945","2,661",709
AL,Andalusia City School District,"8,855","1,474",380
AL,Anniston City School District,"21,443","2,892","1,012"
AL,Arab City School District,"8,618","1,512",241
AL,Athens City School District,"27,289","4,163",659
AL,Attalla City School District,"5,807",954,282
AL,Auburn City School District,"79,317","10,766",846
AL,Autauga County School District,"59,759","10,421","1,528"
AL,Baldwin County School District,"221,765","35,892","4,969"
AL,Barbour County School District,"12,088","1,375",498
AL,Bessemer City School District,"25,682","4,230","1,506"
AL,Bibb County School District,"22,005","3,186",805
AL,Birmingham City School District,"197,951","26,499","9,391"
AL,Blount County School District,"52,530","9,027","1,336"
AL,Boaz City School District,"10,270","1,949",490
AL,Brewton City School District,"5,263",856,212
AL,Bullock County School District,"10,202","1,603",588
AL,Butler County School District,"18,650","3,093","1,007"
AL,Calhoun County School District,"54,556","9,097","1,862"
AL,Chambers County School District,"27,255","4,085","1,074"
AL,Cherokee County School District,"25,302","3,539",765
AL,Chickasaw City School District,"6,404","1,130",413
AL,Chilton County School District,"45,884","8,011","1,750"
AL,Choctaw County School District,"12,439","1,784",546
AL,Clarke County School District,"17,497","2,742",918
AL,Clay County School District,"14,198","2,182",531
AL,Cleburne County School District,"15,098","2,578",509
AL,Coffee County School District,"21,113","3,672",684
AL,Colbert County School District,"22,816","3,345",832
AL,Conecuh County School District,"11,206","1,658",748
AL,Coosa County School District,"10,166","1,218",378
AL,Covington County School District,"21,970","3,515",841
AL,Crenshaw County School District,"13,025","2,273",607
AL,Cullman City School District,"17,711","2,907",387
AL,Cullman County School District,"72,924","12,053","2,005"
AL,Dale County School District,"15,616","2,594",719
AL,Daleville City School District,"10,746","1,637",467
AL,Dallas County School District,"19,588","3,288","1,139"
AL,DeKalb County School District,"57,040","10,160","1,928"
AL,Decatur City School District,"58,318","9,607","1,832"
AL,Demopolis City School District,"6,948","1,247",416
AL,Dothan City School District,"71,643","11,401","2,874"
AL,Elba City School District,"4,888",717,248
AL,Elmore County School District,"81,902","13,202","1,830"
AL,Enterprise City School District,"29,418","5,448","1,215"
AL,Escambia County School District,"31,403","5,237","1,353"
AL,Etowah County School District,"62,340","9,880","1,608"
AL,Eufaula City School District,"12,618","2,349",746
AL,Fairfield City School District,"9,862","1,677",569
AL,Fayette County School District,"14,855","2,304",619
AL,Florence City School District,"41,184","5,332","1,270"
AL,Fort Payne City School District,"14,958","2,771",523
AL,Fort Rucker School District,"4,500",844,22
AL,Franklin County School District,"21,138","3,615",734
AL,Gadsden City School District,"33,835","5,224","1,711"
AL,Geneva City School District,"6,000",925,231
AL,Geneva County School District,"20,783","3,512",835
AL,Greene County School District,"7,422","1,172",546
AL,Gulf Shores City School District,"16,063","1,893",252
AL,Guntersville City School District,"8,712","1,351",270
AL,Hale County School District,"14,595","2,513",786
AL,Haleyville City School District,"8,372","1,357",359
AL,Hartselle City School District,"14,777","2,716",282
AL,Henry County School District,"17,652","2,717",594
AL,Homewood City School District,"26,049","4,341",305
